epoch,timestamp,location-long,location-lat,height-above-msl
1682730430,2023-04-29 01:07:10,-6.4822504,37.4272992,97.33
1682734030,2023-04-29 02:07:10,-6.4822464,37.4272768,95.29
1682737629,2023-04-29 03:07:09,-6.482234,37.4273248,57.39
1682741230,2023-04-29 04:07:10,-6.4823236,37.4271936,97.59
1682744845,2023-04-29 05:07:25,-6.4821972,37.4272992,85.38
1682748409,2023-04-29 06:06:49,-6.4804172,37.4271328,101.28
1682752011,2023-04-29 07:06:51,-6.4793204,37.4298272,68.19
1682755611,2023-04-29 08:06:51,-6.4790692,37.4276384,100.82
1682759210,2023-04-29 09:06:50,-6.4794708,37.427376,196.84
1682762815,2023-04-29 10:06:55,-6.4780988,37.4300576,87.48
1682766416,2023-04-29 11:06:56,-6.4779468,37.430144,85.13
1682768814,2023-04-29 11:46:54,-6.4779912,37.430288,84.18
1682769414,2023-04-29 11:56:54,-6.4779476,37.43024,92.98
1682770014,2023-04-29 12:06:54,-6.4780068,37.4302912,101.46
1682770615,2023-04-29 12:16:55,-6.4780016,37.4303968,82.63
1682771215,2023-04-29 12:26:55,-6.47785,37.4305664,63.96
1682771830,2023-04-29 12:37:10,-6.4778828,37.4299808,97.68
1682772414,2023-04-29 12:46:54,-6.4780396,37.4298272,116.97
1682773014,2023-04-29 12:56:54,-6.4781832,37.4298432,101.06
1682773613,2023-04-29 13:06:53,-6.4781064,37.4300192,91.66
1682774213,2023-04-29 13:16:53,-6.4813296,37.4291488,94.54
1682774813,2023-04-29 13:26:53,-6.479706,37.4296352,81.65
1682775413,2023-04-29 13:36:53,-6.4799252,37.4295616,29.02
1682776014,2023-04-29 13:46:54,-6.481904,37.4293632,56.61
1682776614,2023-04-29 13:56:54,-6.482574,37.4296352,37.01
1682777214,2023-04-29 14:06:54,-6.48081,37.428016,60.28
1682777333,2023-04-29 14:08:53,-6.4809896,37.4280704,47.74
1682777814,2023-04-29 14:16:54,-6.482096,37.428416,26.89
1682778414,2023-04-29 14:26:54,-6.47955,37.4275552,49.07
1682779013,2023-04-29 14:36:53,-6.4789248,37.4275552,157.51
1682779615,2023-04-29 14:46:55,-6.4789812,37.427536,139.53
1682780215,2023-04-29 14:56:55,-6.4788708,37.4274976,132.39
1682780813,2023-04-29 15:06:53,-6.4789948,37.427472,147.13
1682780933,2023-04-29 15:08:53,-6.4788476,37.4278144,166.57
1682781052,2023-04-29 15:10:52,-6.4788876,37.427456,160.06
1682781172,2023-04-29 15:12:52,-6.4787608,37.4275712,193.51
1682781293,2023-04-29 15:14:53,-6.4808616,37.4292224,160.95
1682781414,2023-04-29 15:16:54,-6.4810252,37.429248,126.02
1682781532,2023-04-29 15:18:52,-6.4808952,37.429216,134.27
